题目,简介,作者,出版社,日期,关键字
机器学习在无线电领域的典型应用与挑战  CNKI文献,1机器学习 机器学习是一种通过数据训练模型，并通过模型进行预测和决策的技术，主要包括数据采集、数据探索和预处理、模型的建立和训练、模型评估与优化四个基本步骤。按照不同的分类方法，机器学习算法有多种分类结果，深度学习是机器学习算法中通过使用多层神经网络，处理大量复杂的、非结构化数据的新领域，在某些任务上的表现超越了传统的机器学习@#...,黎璐玫 王心尘 王晓冬,《中国无线电》,2024年08期,"关键词：机器学习 / 无线电 / 应用 / 挑战
下载（34）|被引（0）"
量子机器学习算法研究概述  CNKI文献,0 引言 随着信息技术的飞速发展和大数据的涌现，传统计算机对数据的处理能力已经达到瓶颈。然而，机器学习作为一门交叉学科，已经对众多领域产生了深远的影响。机器学习算法核心旨在提取有价值的数据训练生成模型，利用模型对数据进行预测与分析，并不断优化、提升模型的性能。同时，第二次量子科技革命催生出量子计算等新兴技术，其中量子计算因具有独特的性质（量子叠加性和并行性），能够实现对数...,侯敏,《通讯世界》,2024年08期,"关键词：机器学习 / 量子机器学习 / 量子计算 / 人工智能
下载（254）|被引（0）"
遥感卫星任务智能决策的机器学习方法研究  CNKI文献,遥感卫星任务智能是智能对地观测卫星系统(IEOS)的关键技术之一[1-3]。遥感卫星的任务决策通常采用地面或星上任务规划实现[4]。任务规划软件制定任务的决策策略，包括用户任务需求、卫星基本配置参数、地面系统可用资源、分系统约束条件、分系统间时序匹配、决策优化调度算法、最终指令生成等[5]。任务决策过程可以描述为任务规划软件根据用户需求和可用资源在满足当前卫星各分系统(如姿态控制、载荷、数传)匹配...,杨芳 景丽萍 黄敏 陈雄姿 田帅虎 王抒雁 张宝昕,《航天器工程》,2024年04期,"关键词：遥感卫星 / 任务智能决策 / 机器学习 / 样本模型
下载（148）|被引（0）"
机器学习在特殊教育研究中的应用与展望  CNKI文献,"1 引言 机器学习作为人工智能的重要分支，是一种通过算法使机器在经验数据中自动学习规律的计算机程序[1],其核心在于通过数据驱动的方法论，从大量数据中提取关键特征，并基于这些特征构建模型，从而在未知情境中做出智能响应[2]。在教育领域，机器学习已展现出其巨大的潜力，尤其在支持服务、教学预测、教育环境、教育评价、教学模式等方面[3],其优势已经得到了...",陈建军 李泓仪 刘佃振 李涛 宿淑华,《中国特殊教育》,2024年08期,"关键词：机器学习 / 特殊教育研究 / 赋能 / 未来展望
下载（243）|被引（0）"
机器学习在环境分析检测中的应用研究进展  CNKI文献,人类工业革命以来，许多环境问题都直接或间接与化学品有关。化学品污染已被联合国环境规划署列为影响人类生存与发展的全球重大环境问题之一[1]。为了评价化学品排放到环境后对环境造成的影响，人们必须准确、及时地了解当前环境中已经发现的有毒物质浓度是否超过安全阈值？还存在哪些潜在的有毒物质？它们从何而来？进入环境后发生什么变化？可能造成什么危害？而要回答好这些问题，环境分析检测技术必不可缺。环境分析检测技术...,刘思思 张波 李星颖 辛蕾 应光国 陈长二,《分析测试学报》,2024年08期,"关键词：环境分析化学 / 环境检测 / 机器学习 / 新污染物
下载（482）|被引（0）"
机器学习在信息系统管理中的应用分析  CNKI文献,信息系统是一个由计算机硬件、软件、数据和用户组成的系统，用于支持组织的各种业务和决策。随着多组织信息化的不断推进，信息系统在组织中扮演着越来越重要的角色。然而，信息系统管理仍然面临许多挑战，如基础设施的优化、数据的管理和分析、信息安全和用户支持等问题[1-3]。为了解决这些问题，研究者开始关注机器学习在信息系统管理中的应用。机器学习是一种基于数据驱动的算法，通过学习@...,李一 李爽,《科学咨询(科技·管理)》,2024年08期,"关键词：机器学习 / 信息系统 / 管理应用
下载（31）|被引（0）"
机器学习模型在软件工程中的研究与应用  CNKI文献,0 引言 随着大数据与人工智能的不断发展及大数据时代的到来，机器学习技术在软件工程中的研究日益广泛，涉及医疗信息、图像和语音识别及金融风控等多个领域。机器学习模型可以通过对数据集中的大量数据学习和分析，挖掘出数据中存在的规律，进而搭建预测分析模型，提高软件开发的效率和质量，推动软件工程的智能化发展。 1 机器学习概述 机器学习是人工...,王一丁 曾珺 马培兴,《信息与电脑(理论版)》,2024年15期,"关键词：机器学习 / 数据分析 / 软件工程
下载（76）|被引（0）"
机器学习伦理风险及其防控治理  CNKI文献,"目前，人类已迈入人工智能(Artifical Intelligence, 简称AI)时代，正向着智能化社会持续推进。牛津大学信息哲学教授卢西亚诺·弗洛里迪(Luciano Floridi)认为，人工智能是继哥白尼革命、达尔文革命、神经科学革命之后人类自我认知的“第四次革命”①。作为人工智能的前沿成果，ChatGPT自发布之日起五日内用户就超过了100万，截至2023年12月，ChatGPT 拥有约...",夏明月 陈冬阳,《山东社会科学》,2024年08期,"关键词：机器学习 / 伦理风险 / 人工智能 / 治理
下载（269）|被引（0）"
机器学习支持下的入侵检测技术探究  CNKI文献,0 引言 当前互联网已经成为人们日常生活中的重要组成部分，然而，网络入侵威胁日益严重，对个人隐私泄露与社会公共安全均造成了严重影响，因此需要及时对网络入侵采取有效的检测技术，从而确保网络安全。目前计算机网络系统防御入侵的主要手段是软硬件相结合的入侵检测系统，入侵检测系统能够通过对入侵行为、网络日志以及其他网络上获取的信息进行有效分析与识别，一旦检测到对网络的入侵意图，立即采取适当的解决方法进行处...,肖学玲 肖远军,《信息记录材料》,2024年08期,"关键词：机器学习 / 入侵检测技术 / 网络安全
下载（59）|被引（0）"
人工智能“机器学习”教学逆向设计的实践与思考  CNKI文献,随着科技的飞速发展，人工智能正深刻影响着我们生活的各个领域，人工智能教育的重要意义不言而喻。机器学习作为人工智能的核心分支，其教学对学生理解AI的概念和技能至关重要，如何在中学阶段采用合适的教学方式引导学生学习和理解人工智能，是目前信息技术教师积极探索和研究的方向。在传统教学设计中学生往往处于被动的学习状态，而逆向教学设计以终为始，从学习结果出发，确...,吴烜,《中国信息技术教育》,2024年15期,"关键词：逆向设计 / 人工智能 / 机器学习
下载（52）|被引（0）"
指向计算思维培养的人工智能教学实践研究——以初中《探秘机器学习》一课为例  CNKI文献,人工智能技术发展至今，已在图形识别、语音识别、生物识别、生成式人工智能(AIGC)等众多领域得到广泛应用，并展现出机器学习的突破性成就。我国近年来高度重视人工智能赋能教育的战略部署。自2017年国务院发布《新一代人工智能发展规划》以来，已逐步将人工智能教育纳入基础教育课程体系。《义务教育信息科技课程标准(2022年)》设立了人工智能的独立模块，全面覆盖应用实践、计算原理、伦理安全等内容...,原嫄,《中国现代教育装备》,2024年14期,"关键词：人工智能 / 机器学习 / 图形化编程 / 计算思维
下载（205）|被引（0）"
机器学习在智慧农业中的应用  CNKI文献,0 引言 目前我国尤其是西北地区农业呈现出作物多样性和对水资源的依赖性[1]。由于水资源相对匮乏，加之气候变化带来的不确定性，农业生产面临诸多挑战[2-3]。土地资源的利用压力也随着人口增长和经济发展而增大，这进一步要求农业实现可持续发展[4-5]。智慧农业的引入，尤其是机器学习技术的应用，为农业生产力和效率的提升提供了新的可能性。精准农业的实践，可以优化水资源和肥料的使用，同时预测...,杨嘉鹏 董荣,《农业工程》,2024年07期,"关键词：机器学习 / 智慧农业 / 农业应用 / 农业信息化
下载（301）|被引（0）"
类型化视角下机器学习的合理使用制度研究  CNKI文献,一、问题的提出 人工智能技术的飞跃式发展拉开了新一轮技术革命的序幕，与公有领域的信息不同，版权作品具有内容丰富、信息优质的特点，利用版权作品进行数据训练、优化算法是人工智能机器学习中必不可少的环节。目前，人工智能行业的发展正经历互联网发展早期“非法兴起”的阶段。1 1 在此背景下，有关机器学习的版权纠纷不断涌现。2024年2月28日，广州互联网法院就“全球AIGC平台...,江璐迪,《电子知识产权》,2024年07期,"关键词：人工智能 / 机器学习 / 合理使用 / 技术创新
下载（136）|被引（0）"
基于CDIO理念的研究生“机器学习”课程教学改革探索  CNKI文献,机器学习（Machine Learning）作为人工智能领域的一个重要分支，在过去几十年中取得了显著的发展。随着大数据、深度学习和自动化技术的兴起，机器学习已在各行各业产生了深远影响，越来越多行业开始认识到机器学习在社会工作中的巨大潜力。作为未来科技创新的关键驱动力之一，研究生专业知识和技能的培养已成为高等教育的当务之急[1]。 [1] 然而，传...,刘健 王雪松 袁小平,《科教导刊》,2024年19期,"关键词：CDIO理念 / 机器学习课程 / 研究生 / 教学改革
下载（58）|被引（0）"
数据科学与大数据技术专业机器学习课程的教学改革探索  CNKI文献,"一、引言 在当今信息爆炸的时代，大数据产业已成为推动社会进步和经济发展的战略性产业。[1]我国高度重视大数据产业发展，工业和信息化部发布《“十四五”大数据产业发展规划》,推动实施国家大数据战略。[2]各行各业对大数据处理与应用的需求正在迅速增长，相应地，对相关专业人才的需求也在日益增加。2016年2月，教育部新增数据科学与大数据技术本科专业，北京大学、对外经济贸易大学、中南大学成为首批开设院校。...",甘炎灵 徐鲁辉 夏海英,《教育观察》,2024年19期,"关键词：机器学习 / 数据科学与大数据技术 / 教学改革
下载（148）|被引（0）"
基于机器学习的加密流量分析与研究  CNKI文献,"西南石油大学 硕士 2022 TP393 基于机器学习的加密流量分析与研究 张荣华 刘智 网络空间安全 网络安全 流量分析是发现网络攻击的重要手段,通过对网络流量深度解析,可有效检测攻击并对攻击者进行画像(如分析操作系统)。但随着TLS协议大规模使用,传统流量分析方法难以分析流量内容,因此无法有效检测攻击。本文围绕加密流量,针对操作系统识别不够轻量化、恶意加密流量识别...",张荣华 导师:刘智,中国优秀硕士学位论文全文数据库, 2022-06-01 ,"关键词：加密流量 / 机器学习 / 主动学习 / 恶意检测
下载（12）|被引（0）"
基于机器学习的视频点播平台客户细分与保留策略研究  CNKI文献,哈尔滨商业大学 硕士 2024 基于机器学习的视频点播平台客户细分与保留策略研究 Research on Customer Segmentation and Retention Strategy of VOD Platform Based on Machine Learning 赵全盛 赵志杰 哈尔滨商业大学 电子商务 先进的无线技术和智能移动设备使用户几乎可以从任何...,赵全盛 导师:赵志杰,中国优秀硕士学位论文全文数据库, 2024-05-27 ,"关键词：视频点播平台 / RFM模型 / 客户保留 / 机器学习
下载（58）|被引（0）"
双流化床生物炭特性分析和VOCs吸附机器学习模型预测  CNKI文献,北京化工大学 硕士 2024 X511 双流化床生物炭特性分析和VOCs吸附机器学习模型预测 Characterzation of Dual Fluidized Bed Biochar and Prediction of VOCs Adsorption Via Machine Learning Model 陈远祥 代建军 北京化工大学 化学工程与技术 固废处理及资源...,陈远祥 导师:代建军,中国优秀硕士学位论文全文数据库, 2024-05-30 ,"关键词：双流化床 / 生物炭 / 挥发性有机物 / 机器学习
下载（48）|被引（0）"
基于机器学习的土壤As（Ⅴ）吸附与污染风险预测研究  CNKI文献,"中南林业科技大学 环境科学与工程学院 硕士 2024 基于机器学习的土壤As（Ⅴ）吸附与污染风险预测研究 Research on Soil as(Ⅴ) Adsorption and Pollution Risk Prediction Based on Machine Learning 周洲 冯冲凌；张轩 环境工程（专业学位） 湿地与矿山生态修复 砷(Arsenic,...",周洲 导师:冯冲凌;张轩,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：砷吸附 / 机器学习算法 / 土壤理化性质 / 风险评估
下载（65）|被引（0）"
机器学习辅助氮掺杂生物质炭吸附去除水体中的重金属铅污染  CNKI文献,中南林业科技大学 生命与环境科学学院 硕士 2024 机器学习辅助氮掺杂生物质炭吸附去除水体中的重金属铅污染 Machine Learning-assisted Nitrogen-doped Biochar Adsorption to Remove Heavy Metal Lead Pollution in Water 李子石 苏荣葵 环境工程（专业学位） 水染控制工...,李子石 导师:苏荣葵,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：生物质炭 / 重金属 / 机器学习 / 吸附效率
下载（103）|被引（0）"
基于机器学习的电商精准营销研究  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 1.1.1 研究背景 随着互联网的普及，大数据时代下我国电子商务得到了快速的发展。在当 今社会，电子商务是企业与消费者之间的一种重要的交易方式。在中国，传统 的营销观念、方法和手段都无法与大规模的快速扩张和数量的快速增长相匹配， 因此，电子商务的营销方式正在逐步改变，从过去的粗放式发展到精确的集约 型，从而产生了精准营销。“...,叶甜甜 导师:苏海涛,中国优秀硕士学位论文全文数据库, 2024-06-05 ,"关键词：电子商务 / 精准营销 / 机器学习 / 推荐算法
下载（221）|被引（0）"
基于机器学习的可转债多因子量化策略设计  CNKI文献,中南财经政法大学 硕士 2023 基于机器学习的可转债多因子量化策略设计 Design of Multi-factor Quantitative Strategy for Convertible Bonds Based on Machine Learning 邓小洪 凌士勤；杨光星 金融（专业学位） 量化投资 作为我国资本市场重要组成部分和中小企业重要融资手段的可转债...,邓小洪 导师:凌士勤;杨光星,中国优秀硕士学位论文全文数据库, 2023-06-01 ,"关键词：可转债 / 多因子 / 量化投资 / 机器学习
下载（15）|被引（0）"
基于盈余公告事件的机器学习选股策略研究  CNKI文献,"中南财经政法大学 硕士 2023 基于盈余公告事件的机器学习选股策略研究 Research on Machine Learning Stock Selection Strategy Based on Earnings Announcement Events 王涛 凌士勤 金融工程 量化投资 随着我国资本市场的成熟和发展,量化交易与人工智能在A股上扮演着中越来越重要的角...",王涛 导师:凌士勤,中国优秀硕士学位论文全文数据库, 2023-06-01 ,"关键词：盈余公告 / 多因子模型 / XGBoost模型
下载（6）|被引（0）"
利用股票基本面因子改进的动量策略  CNKI文献,"中南财经政法大学 硕士 2023 利用股票基本面因子改进的动量策略 Improved Momentum Strategy Using Stock Fundamental Factors 基于机器学习方法 Based on Machine Learning 尹涵 凌士勤 金融工程 量化投资 随着我国资本市场的不断发展,机器学习与量化投资也逐步走入了人们的...",尹涵 导师:凌士勤,中国优秀硕士学位论文全文数据库, 2023-06-01 ,"关键词：动量 / 机器学习 / 量化投资
下载（7）|被引（0）"
基于机器学习的高血压肾病预测模型研究  CNKI文献,"重庆医科大学 硕士 2023 R544.1 基于机器学习的高血压肾病预测模型研究 Machine Learning-based Prediction Model for Hypertensive Nephropathy 王萧 王惠来 重庆医科大学附属大学城医院 医学信息学 目的:高血压肾病是由原发性高血压引起的肾脏结构和功能损害。如果发现不及时,干预滞后,很可能发展...",王萧 导师:王惠来,中国优秀硕士学位论文全文数据库, 2023-05-01 ,"关键词：原发性高血压 / 高血压肾病 / 机器学习 / 预测模型
下载（17）|被引（0）"
基于机器学习的天线优化与设计研究  CNKI文献,第一章 绪 论 1 第一章 绪 论 随着现代无线通信技术的发展，人们对于电磁波的传输机制和频谱分配有着 更为精细的划分。天线作为发射与接收电磁信号的载体，也随之面临着多元化的设 计要求，其结构与应用环境日趋复杂[1]。在天线设计优化中，工程师们需要不断调 试天线来满足不同的应用需求，这常常需要大量的时间与计算资源[2]。利用优化算 法辅助天线快速优化与设计具有重要的研究价值和意...,纪麟 导师:赵延文,中国优秀硕士学位论文全文数据库, 2024-04-03 ,"关键词：天线优化 / 高斯过程回归 / 支持向量机 / k近邻回归
下载（44）|被引（0）"
基于机器学习的家庭物联网入侵检测技术研究  CNKI文献,"第一章 绪论 1.1 研究背景和意义 随着物联网（Internet of Things, Io T）技术的飞速发展，接入互联网的物联网设备数 量持续增长，为人类的生活和工作带来了诸多便利。Io T Analytics 公司对全球物联网市 场进行了预测，如图1.1所示。预计到 2025 年，全球将有大约 270 亿台活跃的物联网设 备[1]。 State of Io T 4. Upda...",何峰 导师:童飞,中国优秀硕士学位论文全文数据库, 2023-06-02 ,"关键词：设备流量画像 / 实时入侵检测 / 开集识别
下载（25）|被引（0）"
基于可解释机器学习的公司债券违约预测研究  CNKI文献,"东南大学 硕士 2023 F832.5 基于可解释机器学习的公司债券违约预测研究 Corporate Bond Default Prediction Based on Explainable Machine Learning 唐欣 唐攀 金融学 金融工程 尹威 近年来,习近平总书记多次强调金融业向实体经济输血的重要性;2021年表决通过的“十四五”规划中也明确提出...",唐欣 导师:唐攀,中国优秀硕士学位论文全文数据库, 2023-05-25 ,"关键词：公司债违约 / 违约影响因素 / 机器学习模型 / 可解释机器学习模型
下载（34）|被引（0）"
文本类型理论下《图驱动的机器学习》（节选）英汉翻译实践报告  CNKI文献,Chapter One Introduction 1 Chapter One Introduction The last two decades have seen a growing trend towards the rapid advancement and widespread adoption of machine learning technologies a...,史佳艳 导师:魏全凤,中国优秀硕士学位论文全文数据库, 2024-04-18 ,"关键词：文本类型理论 / 凯瑟琳娜·莱斯 / 《图驱动的机器学习》
下载（31）|被引（0）"
基于机器学习的光催化去除NO性能预测及模型可解释性研究  CNKI文献,"第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 良好的大气环境是确保人类健康和社会发展的先决条件。然而，当今全球许多 地区依然存在高于世界卫生组织（WHO）空气质量指导值的细颗粒物（PM2.5）浓 度以及不断增加的臭氧（O3）污染[1, 2]。这种污染状况会导致呼吸系统健康产生不 良影响，并对许多地区的农作物生长造成破坏[3]。作为形成 PM2.5 和 O3 的关键前驱 ...",李静 导师:孙艳娟,中国优秀硕士学位论文全文数据库, 2024-03-31 ,"关键词：机器学习 / 石墨相氮化碳 / 铋系材料 / 光催化
下载（46）|被引（0）"
机器学习驱动的镁、铝合金熔体结构与动力学模拟研究及其对凝固行为的影响  CNKI文献,吉林大学 材料科学与工程学院 博士 2024 TG146.2 机器学习驱动的镁、铝合金熔体结构与动力学模拟研究及其对凝固行为的影响 Machine Learning-driven Simulation Study of Structure and Dynamics in Magnesium and Aluminum Alloy Melts and Their Effects...,尤江 导师:王珵,中国博士学位论文全文数据库, 2024-06-01 ,"关键词：轻合金 / 金属熔体 / 短程有序结构 / 动力学
下载（283）|被引（0）"
基于机器学习的多元金属氧化物基催化剂的高效开发与性能研究  CNKI文献,浙江大学博士学位论文 1 绪论 1 1 绪论 1.1 研究背景 我国是全球最大的煤炭消费国。尽管近年来我国的能源消费结构在逐步优化，但 是以现有的技术及资源条件，以煤为主的能源消费模式在短期内仍难以改变[1]。如图 1.1 所示，2023 年我国能源消费总量达到 57.2 亿吨标准煤，其中煤炭消费占比达到 55.3%。能源领域是我国主要的二氧化碳（CO2）和大气污染物的排放来源，...,董毅 导师:高翔;郑成航;张霄,中国博士学位论文全文数据库, 2024-06-01 ,"关键词：催化剂研发 / 机器学习 / 金属氧化物 / 甲醇合成
下载（266）|被引（0）"
基于计算机视觉和机器学习的输电塔损伤识别方法研究  CNKI文献,第一章 绪 论 -1- 第一章 绪 论 1.1 研究背景及意义 我国随着经济社会的快速发展，用电需求大幅度增加，与此同时电网建设 也大规模展开，输电线路长度不断增加。根据《中国电力行业可靠性年度发展 报告. 2021》中的统计数据，如图 1-1 所示，截止 2021 年，全国 220k V 电压等 级及以上输电线路总长度为 82.5 万千米，按照每千米线路的输电塔...,张楷 导师:李玉学,中国博士学位论文全文数据库, 2024-06-01 ,"关键词：输电塔 / 损伤识别 / 计算机视觉 / 位移采集
下载（135）|被引（0）"
基于机器学习的地震灾害风险等级评估研究  CNKI文献,"防灾科技学院 硕士 2024 P315 基于机器学习的地震灾害风险等级评估研究 Research on Earthquake Disaster Risk Assessment Based on Machine Learning 宋其淇 朱红；周新 资源与环境（专业学位） 地震动力学与地球探测技术 地震,这一具有极大破坏力的自然灾难,对人类生命与财产构成了严峻挑战。中...",宋其淇 导师:朱红;周新,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：地震灾害 / 风险等级评估 / 机器学习 / 堆叠模型
下载（208）|被引（0）"
机器学习辅助非晶合金相组成及玻璃形成能力的研究  CNKI文献,陕西理工大学 硕士 2024 TG146.2 机器学习辅助非晶合金相组成及玻璃形成能力的研究 Study on the Phase Composition and Glass-forming Ability of Amorphous Alloys Using Machine Learning Techniques 王琳 李培友 材料学 高强高韧材料开发与应用研究 近...,王琳 导师:李培友,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：机器学习 / 非晶合金 / 相选择 / 非晶合金复合材料
下载（72）|被引（0）"
机器学习估算光催化降解有机污染物反应速率常数的研究  CNKI文献,山东师范大学 硕士 2024 TQ579 机器学习估算光催化降解有机污染物反应速率常数的研究 Study about Machine Learning for Estimating the Reaction Rate Constant of Photocatalytic Degradation of Organic Pollutants 杨文杰 唐波 化学工程与技术 ...,杨文杰 导师:唐波,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：机器学习 / 光催化 / 有机污染物 / 反应速率常数
下载（174）|被引（0）"
基于机器学习的氨酰-tRNA合成酶催化性能改造  CNKI文献,浙江大学 硕士 2024 Q819 基于机器学习的氨酰-tRNA合成酶催化性能改造 Machine-learning-guided Engineering of aminoacyl-tRNA Synthetase for Improved Catalytic Performance 龙尚霖 吴坚平；于浩然；陈青松 生物与医药（专业学位） 林建平 向蛋白质中引入非天然...,龙尚霖 导师:吴坚平;于浩然;陈青松,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：正交氨酰-tRNA合成酶 / 机器学习 / 酶工程 / 非天然氨基酸
下载（140）|被引（0）"
基于机器学习的石墨烯/铜复合材料分子动力学研究  CNKI文献,"长春工业大学 硕士 2024 TB333 基于机器学习的石墨烯/铜复合材料分子动力学研究 Molecular Dynamics Study of Graphene/Copper Composites Based on Machine Learning 毛彦东 高亮；李凯 工程硕士（专业学位） 石墨烯作为增强相可以显著提高铜基复合材料的强度、耐磨性和耐腐蚀性,在航空航天...",毛彦东 导师:高亮;李凯,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：铜基复合材料 / 石墨烯 / 分子动力学 / 机器学习
下载（208）|被引（0）"
